country_code,spend_usd,erevenue_12month_usd,subscribers,romi,cps,revenue_per_subscriber,romi_contribution_%
IL,83.138963,99.14216085999999,2,0.1924873402618696,41.5694815,49.571080429999995,0.09573933471976286
ZA,331.258309,387.94525241,29,0.1711261027115852,11.422700310344828,13.377422496896553,0.0851146844488787
GB,13475.027211999999,15756.6795424,1141,0.16932450632590235,11.809839800175284,13.809535094127957,0.0842186066124654
TH,372.697171,430.874782302,23,0.156098880884717,16.204224826086957,18.733686187043478,0.0776404463071215
UG,9.249799,10.493,1,0.13440302864959564,9.249799,10.493,0.06684936541659153
BY,32.799745,36.6872,4,0.1185208909398532,8.19993625,9.1718,0.05894990929553043
BE,563.146663,620.40424824,33,0.10167437543707868,17.065050393939394,18.800128734545456,0.05057079104085681
MY,581.016234,596.87955555,57,0.02730271655369944,10.193267263157896,10.471571149999999,0.013579822524106253
PL,205.551111,205.26371439,19,-0.0013981759018563604,10.81847952631579,10.803353388947368,-0.0006954245951075112
US,24644.934872,23583.2975,1514,-0.04307730483013633,16.278028317040953,15.576814729194188,-0.021425785718410972
IE,395.377152,363.639924945,28,-0.080270766518648,14.120612571428572,12.987140176607143,-0.039925066102973916
DK,452.708219,404.31745645,22,-0.10689172521959443,20.577646318181817,18.378066202272727,-0.053165795972084
NO,544.205131,482.59700678,35,-0.1132075401545599,15.54871802857143,13.788485908,-0.056307155394808156
PA,36.539131,31.479,2,-0.13848525844799098,18.2695655,15.7395,-0.06887978447968347
CR,66.879875,55.986,7,-0.1628871914010007,9.554267857142857,7.997999999999999,-0.08101681553647447
NZ,434.95635,363.06958831,36,-0.16527350776692884,12.082120833333333,10.085266341944443,-0.08220372134022254
SA,261.163023,215.68696602100002,21,-0.17412900362621392,12.43633442857143,10.270807905761906,-0.08660826701594414
KE,29.237108,23.994,1,-0.179330595898883,29.237108,23.994,-0.08919543447844477
IS,35.429787000000005,27.993,2,-0.2099021086409581,17.714893500000002,13.9965,-0.10440109053520738
KW,35.669685,27.993,2,-0.2152159459776559,17.8348425,13.9965,-0.10704408643682024
CO,182.472976,138.35331681000002,26,-0.24178736028287262,7.018191384615384,5.321281415769231,-0.12026017391916452
CZ,166.527913,124.38798118999999,17,-0.2530502607691962,9.795759588235295,7.316940069999999,-0.1258621142759097
ES,209.689446,155.64223173,19,-0.25774885336861453,11.036286631578948,8.191696406842105,-0.12819909980948055
RE,32.968278,23.496,5,-0.2873149152649101,6.5936556,4.699199999999999,-0.14290466482161965
MM,29.469373,20.986,1,-0.2878708345779871,29.469373,20.986,-0.14318116791589824
CA,3018.892882,2130.177190147,183,-0.29438463920065644,16.496682415300548,11.640312514464481,-0.14642100343038175
IN,1167.66542,781.72699914,134,-0.33052140985728606,8.71392104477612,5.833783575671641,-0.16439470693150346
EG,43.395072,28.99234195,6,-0.3318978258637294,7.232512,4.832056991666667,-0.1650793085919308
FR,453.876821,275.75374505,31,-0.3924480557468256,14.641187774193549,8.895282098387097,-0.1951957760866229
PR,189.168911,111.96499999999999,13,-0.40812155967848235,14.551454692307694,8.612692307692306,-0.20299146195927795
RU,638.164108,370.784087503,74,-0.4189831692900535,8.623839297297298,5.010595777067568,-0.2083938082994731
OM,19.149759,10.493,1,-0.45205576738589764,19.149759,10.493,-0.22484345394807806
ID,154.317828,79.23373142,13,-0.48655490783605376,11.870602153846153,6.094902416923077,-0.2420026330951749
JO,21.399791,10.493,1,-0.5096681084408722,21.399791,10.493,-0.2534986745810164
PE,53.540416,25.95736154,8,-0.5151819227553256,6.692552,3.2446701925,-0.2562411350125227
EC,43.500535,20.993,5,-0.5174082341745913,8.700107,4.1986,-0.25734845757134417
EE,61.148761,27.993,6,-0.5422147637627522,10.191460166666667,4.6655,-0.26968672686347334
PT,100.510915,44.65835967,4,-0.5556864677831258,25.12772875,11.1645899175,-0.27638728170878135
SE,620.360396,244.80805909,31,-0.6053776793804225,20.011625677419357,7.897034164193548,-0.3011026917366405
VN,82.058282,28.08085439,9,-0.6577937813760225,9.117586888888889,3.120094932222222,-0.3271734074877899
LV,36.209289,11.60615147,1,-0.679470329561014,36.209289,11.60615147,-0.33795488693172965
HK,247.167689,76.80138814,13,-0.6892741585652807,19.012899153846153,5.907799087692307,-0.342831114455565
RO,156.528175,42.02566278,11,-0.7315137496492244,14.229834090909092,3.820514798181818,-0.3638402381917544
LU,76.228966,12.1202915,2,-0.8410014967276351,38.114483,6.06014575,-0.41829724326539747
HR,28.429707999999998,0.0,1,-1.0,28.429707999999998,0.0,-0.4973799034758036
BN,7.099863,0.0,1,-1.0,7.099863,0.0,-0.4973799034758036
AM,3.179908,0.0,1,-1.0,3.179908,0.0,-0.4973799034758036
BO,22.459101,0.0,3,-1.0,7.486367,0.0,-0.4973799034758036
GT,27.349152,0.0,1,-1.0,27.349152,0.0,-0.4973799034758036
GD,0.809985,0.0,1,-1.0,0.809985,0.0,-0.4973799034758036
CG,0.509996,0.0,1,-1.0,0.509996,0.0,-0.4973799034758036
CN,27.419586,0.0,1,-1.0,27.419586,0.0,-0.4973799034758036
CY,30.289429,0.0,3,-1.0,10.096476333333333,0.0,-0.4973799034758036
KZ,10.209813,0.0,1,-1.0,10.209813,0.0,-0.4973799034758036
NI,7.869854999999999,0.0,1,-1.0,7.869854999999999,0.0,-0.4973799034758036
NP,4.949941,0.0,1,-1.0,4.949941,0.0,-0.4973799034758036
MN,13.769726,0.0,1,-1.0,13.769726,0.0,-0.4973799034758036
MU,6.579842,0.0,2,-1.0,3.289921,0.0,-0.4973799034758036
MK,9.149754999999999,0.0,1,-1.0,9.149754999999999,0.0,-0.4973799034758036
KH,19.329553,0.0,1,-1.0,19.329553,0.0,-0.4973799034758036
KY,12.339826,0.0,1,-1.0,12.339826,0.0,-0.4973799034758036
TW,36.379686,0.0,3,-1.0,12.126562,0.0,-0.4973799034758036
TT,16.669887,0.0,1,-1.0,16.669887,0.0,-0.4973799034758036
NC,16.249062000000002,0.0,2,-1.0,8.124531000000001,0.0,-0.4973799034758036
SI,27.431187,0.0,2,-1.0,13.7155935,0.0,-0.4973799034758036
TR,105.036325,0.0,4,-1.0,26.25908125,0.0,-0.4973799034758036
VE,16.639778999999997,0.0,1,-1.0,16.639778999999997,0.0,-0.4973799034758036
FI,85.168567,-23.71739495,4,-1.2784759188210835,21.29214175,-5.9293487375,-0.6358882290993698
GP,15.508999,-4.497,1,-1.2899606866955113,15.508999,-4.497,-0.6416005218361948
